author,degree,betweenness,closeness,eigenvector
['Thomas A. Kriz',0.0002460024600246002,0.0,0.0002460024600246002,3.276843292072579e-33
'Dale F. Bachman'],0.0002460024600246002,0.0,0.0002460024600246002,3.276843292072579e-33
['G. G. Gustafson',0.0004920049200492004,0.0,0.0004920049200492004,1.3929238239051083e-24
'Theresa Johnson',0.0004920049200492004,0.0,0.0004920049200492004,1.3929238239051083e-24
'Gillian Key'],0.0004920049200492004,0.0,0.0004920049200492004,1.3929238239051083e-24
['Joachim Lenzer',0.0002460024600246002,0.0,0.0002460024600246002,3.276843292072579e-33
'Gerald Wieber'],0.0002460024600246002,0.0,0.0002460024600246002,3.276843292072579e-33
['Haim Weiss',0.0002460024600246002,0.0,0.0002460024600246002,3.276843292072579e-33
'John B. Moore'],0.0002460024600246002,0.0,0.0002460024600246002,3.276843292072579e-33
['Abel P. Jeuland',0.0004920049200492004,0.0,0.0004920049200492004,1.3929238239051083e-24
'Frank M. Bass',0.0004920049200492004,0.0,0.0004920049200492004,1.3929238239051083e-24
'Gordon P. Wright'],0.0004920049200492004,0.0,0.0004920049200492004,1.3929238239051083e-24
['Richard L. Nolan',0.0002460024600246002,0.0,0.0002460024600246002,3.276843292072579e-33
'James C. Wetherbe'],0.0002460024600246002,0.0,0.0002460024600246002,3.276843292072579e-33
['Michael D. Maltz',0.0002460024600246002,0.0,0.0002460024600246002,3.276843292072579e-33
'Stephen M. Pollock'],0.0002460024600246002,0.0,0.0002460024600246002,3.276843292072579e-33
['Henry Fuchs',0.0009840098400984009,0.0,0.0009840098400984009,1.0339894262607107e-13
'Dan Cohen',0.0009840098400984009,0.0,0.0009840098400984009,1.0339894262607107e-13
'Bob Sproull',0.0009840098400984009,0.0,0.0009840098400984009,1.0339894262607107e-13
'James H. Clark',0.0009840098400984009,0.0,0.0009840098400984009,1.0339894262607107e-13
'Frederic I. Parke'],0.0009840098400984009,0.0,0.0009840098400984009,1.0339894262607107e-13
['Gérald Joalland',0.0002460024600246002,0.0,0.0002460024600246002,3.276843292072579e-33
'Guy Cohen'],0.0002460024600246002,0.0,0.0002460024600246002,3.276843292072579e-33
['Hans Brinckmann',0.0019680196801968018,0.0,0.0019680196801968018,0.3333257367298392
'Eckhard Fuchs',0.0019680196801968018,0.0,0.0019680196801968018,0.3333257367298392
'Kenneth L. Kraemer',0.0019680196801968018,0.0,0.0019680196801968018,0.3333257367298392
'John Leslie King',0.0019680196801968018,0.0,0.0019680196801968018,0.3333257367298392
'Gerhard Krüger',0.0019680196801968018,0.0,0.0019680196801968018,0.3333257367298392
'Manfred Lepper',0.0019680196801968018,0.0,0.0019680196801968018,0.3333257367298392
'Herbert Maisl',0.0019680196801968018,0.0,0.0019680196801968018,0.3333257367298392
'Hanns Püschel',0.0019680196801968018,0.0,0.0019680196801968018,0.3333257367298392
'Hansrainer Bosbach'],0.0019680196801968018,0.0,0.0019680196801968018,0.3333257367298392
['David Landskov',0.0007380073800738007,0.0,0.0007380073800738007,1.844698778641197e-18
'Scott Davidson',0.0007380073800738007,0.0,0.0007380073800738007,1.844698778641197e-18
